sfid,nfid,zm,tipo 1,tipo2,descripcion ,observa,valida
1,Q-03-266,qro,privado,baldio/zona de reserva,,,
2,L-01-285,len,privado,baldio/zona de reserva,,,
3,Q-01-091,qro,privado,deportivo,campo de golf,,
4,L-00-477,len,publico,equipamiento urbano,camellon,,
5,L-03-151,len,privado,baldio/zona de reserva,rio,,
6,L-02-718,len,privado,parque,,,
7,Q-01-049,qro,privado,jardin residencial,residencial,,
8,L-01-764,len,privado,baldio/zona de reserva,,,
9,Q-04-004,qro,privado,parque,,,
10,Q-06-893,qro,privado,jardin institucional,escuela,,
11,L-04-327,len,publico,deportivo,unidad deportiva,,
12,L-02-378,len,privado,baldio/zona de reserva,,,
13,Q-00-657,qro,publico,equipamiento urbano,camellon,,
14,L-03-582,len,publico,parque,,,
15,L-03-272,len,privado,baldio/zona de reserva,,,
16,L-07-305,len,privado,jardin residencial,rural,,
17,Q-02-649,qro,privado,baldio/zona de reserva,,,
18,L-04-040,len,privado,deportivo,escuela,lux,
19,Q-00-146,qro,privado,baldio/zona de reserva,,,
20,Q-01-766,qro,publico,parque,,,
21,L-09-710,len,privado,baldio/zona de reserva,,,
22,Q-02-158,qro,publico,equipamiento urbano,camellon,,
23,Q-02-945,qro,privado,jardin residencial,rural,posible baldio inter manzana,
24,L-09-081,len,privado,baldio/zona de reserva,,,
25,Q-06-908,qro,privado,jardin institucional,escuela,,
26,L-09-738,len,privado,baldio/zona de reserva,,,
27,L-03-638,len,privado,jardin institucional,escuela,,
28,Q-00-571,qro,privado,baldio/zona de reserva,,,
29,L-05-166,len,privado,parque,residencial,,
30,L-04-388,len,privado,parque,,,
31,Q-02-053,qro,privado,equipamiento urbano,privada,,
32,Q-03-944,qro,privado,baldio/zona de reserva,,,
33,Q-02-268,qro,privado,baldio/zona de reserva,,,
34,L-04-414,len,privado,jardin institucional,escuela,privada,
35,Q-07-882,qro,privado,baldio/zona de reserva,,,
36,L-10-419,len,privado,jardin residencial,rural,,
37,Q-09-544,qro,privado,jardin residencial,residencial,,
38,Q-01-388,qro,publico,equipamiento urbano,,,
39,L-05-448,len,privado,baldio/zona de reserva,,,
40,L-05-468,len,privado,baldio/zona de reserva,,,
