"sfid","nfid","zm"
1,"Q-03-266","qro"
2,"L-01-285","len"
3,"Q-01-091","qro"
4,"L-00-477","len"
5,"L-03-151","len"
6,"L-02-718","len"
7,"Q-01-049","qro"
8,"L-01-764","len"
9,"Q-04-004","qro"
10,"Q-06-893","qro"
11,"L-04-327","len"
12,"L-02-378","len"
13,"Q-00-657","qro"
14,"L-03-582","len"
15,"L-03-272","len"
16,"L-07-305","len"
17,"Q-02-649","qro"
18,"L-04-040","len"
19,"Q-00-146","qro"
20,"Q-01-766","qro"
21,"L-09-710","len"
22,"Q-02-158","qro"
23,"Q-02-945","qro"
24,"L-09-081","len"
25,"Q-06-908","qro"
26,"L-09-738","len"
27,"L-03-638","len"
28,"Q-00-571","qro"
29,"L-05-166","len"
30,"L-04-388","len"
31,"Q-02-053","qro"
32,"Q-03-944","qro"
33,"Q-02-268","qro"
34,"L-04-414","len"
35,"Q-07-882","qro"
36,"L-10-419","len"
37,"Q-09-544","qro"
38,"Q-01-388","qro"
39,"L-05-448","len"
40,"L-05-468","len"
41,"L-06-972","len"
42,"L-06-134","len"
43,"Q-07-055","qro"
44,"Q-10-689","qro"
45,"Q-07-215","qro"
46,"L-09-275","len"
47,"Q-00-796","qro"
48,"Q-01-859","qro"
49,"L-02-842","len"
50,"Q-02-069","qro"
51,"Q-07-339","qro"
52,"L-07-233","len"
53,"L-03-206","len"
54,"Q-09-952","qro"
55,"L-06-217","len"
56,"Q-06-875","qro"
57,"L-04-839","len"
58,"L-09-459","len"
59,"L-09-914","len"
60,"Q-04-641","qro"
61,"Q-10-380","qro"
62,"L-05-865","len"
63,"Q-10-172","qro"
64,"Q-03-442","qro"
65,"L-08-170","len"
66,"Q-03-131","qro"
67,"L-06-278","len"
68,"Q-09-948","qro"
69,"Q-03-450","qro"
70,"L-09-474","len"
71,"L-03-211","len"
72,"Q-03-514","qro"
73,"L-04-061","len"
74,"Q-10-251","qro"
75,"Q-11-212","qro"
76,"Q-01-283","qro"
77,"L-06-982","len"
78,"Q-10-888","qro"
79,"L-03-892","len"
80,"Q-06-661","qro"
81,"Q-05-806","qro"
82,"L-08-207","len"
83,"Q-02-473","qro"
84,"L-06-560","len"
85,"L-06-967","len"
86,"Q-10-013","qro"
87,"Q-07-126","qro"
88,"L-07-870","len"
89,"L-03-729","len"
90,"Q-05-354","qro"
91,"L-03-383","len"
92,"Q-03-103","qro"
93,"L-04-381","len"
94,"Q-02-634","qro"
95,"Q-10-071","qro"
96,"Q-07-307","qro"
97,"L-04-187","len"
98,"L-08-583","len"
99,"Q-03-809","qro"
100,"L-03-642","len"
101,"L-05-941","len"
102,"Q-03-054","qro"
103,"L-01-361","len"
104,"L-08-547","len"
